QUESTION,ACTION
Do the refrigerator doors not close completely?Yes,"#Kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
Do the refrigerator doors not close completely?No,$Do you want an annual maintanance?
Is the refrigerator leaking water?Yes,$Do you want our technicians to help you fix the issue?
Is the refrigerator leaking water?No,$Is there any other issue we can help you for?
Is the icemaker unable to make enough ice?Yes,$Do the refrigerator doors not close completely?
Is the icemaker unable to make enough ice?No,$Do you want our technicians to help you fix the issue?
Is the refrigerator making abnormal sounds?Yes,$Does the product extend the warranty period?
Is the refrigerator making abnormal sounds?No,"#Kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
Does the product extend the warranty period?Yes,"#Sorry we cannot help you with products exceeding its warranty period.  For more help, kindly dial 1800-123-678"
Does the product extend the warranty periods?No,$Do you want an annual maintanance?
"The freezer control and lights of the refrigerator are on, but the compressor is not operating?Yes",$Do you want our technicians to help you fix the issue?
"The freezer control and lights of the refrigerator are on, but the compressor is not operating?No","#Kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
Do you want an annual maintanance?Yes,$Does the product extend the warranty period?
Do you want an annual maintanance?No,$Is there any other issue we can help you for?
Is the refrigerator accepting power input?Yes,$Is there any other issue we can help you for?
Is the refrigerator accepting power input?No,$Do you want our technicians to help you fix the issue?
The refrigerator has some parts missing?Yes,$Does the product extend the warranty period?
The refrigerator has some parts missing?No,$Is there any other issue we can help you for?
Do you want our technicians to help you fix the issue?Yes,*Our technicians will reach out to you shortly.your customer support request is sucessfully registered under token no.:
Do you want our technicians to help you fix the issue?No,"#Kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
Is there any other issue we can help you for?Yes,#Kindly dial 1800-123-456 for more help.
Is there any other issue we can help you for?No,#Thankyou for contacting us. Hope we could help you. Have a nice day ahead!
