is the microwave heating properly?Yes,$is there any other issue we can help you with?
is the microwave heating properly?No,$is the machine overheating?
is the microwave accepting power supply?Yes,$is the timer working?
is the microwave accepting power supply?No,$is there any other issue we can help you with?
are the control buttons working?Yes,$is there any other issue we can help you for?
are the control buttons working?No,$do you want our technicians to help you fix the issue?
is the microwave door working properly?Yes,$is there any other issue we can help you for?
is the microwave door working properly?No,$do you want our technicians to help you fix the issue?
is the timer working?Yes,$is there any other issue we can help you for?
is the timer working?No,$do you want our technicians to help you fix the issue?
is the microwave making abnormal sounds?Yes,$does the product extend the warranty period?
is the microwave making abnormal sounds?No,$is there any other issue we can help you for?
is the machine overheating?Yes,$is the microwave accepting power supply?
is the machine overheating?No,$is there any other issue we can help you for?
are some of the accessories are missing?Yes,$does the product extend the warranty period?
are some of the accessories are missing?No,$is there any other issue we can help you for?
do you want our technicians to help you fix the issue?Yes,$does the product extend the warranty period?
do you want our technicians to help you fix the issue?No,$is there any other issue we can help you for?
do you want an annual maintanance?Yes,*our technicians will reach out to you shortly.your customer support request is sucessfully registered under token no.:
do you want an annual maintanance?No,$is there any other issue we can help you for?
is there any other issue we can help you with?Yes,"#kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
is there any other issue we can help you with?No,#thankyou for contacting us. Hope we could help you. Have a nice day ahead!
does the product extend the warranty period?Yes,"#sorry we cannot help you with products exceeding its warranty period.  For more help, kindly dial 1800-123-678"
does the product extend the warranty period?No,$do you want an annual maintanance?
