Is the phone screen working?Yes,$is there any other issue we can help you for?
Is the phone screen working?No,$is the phone screen working?
is the charger point working?Yes,$is there any other issue we can help you for?
is the charger point working?No,$does the product extend the warranty period?
is the phone hanging?Yes,$does the product extend the warranty period?
is the phone hanging?No,$is there any other issue we can help you for?
is the phone overheating ?Yes,$does the product extend the warranty period?
is the phone overheating?No,$is there any other issue we can help you for?
is phone speaker working properly?Yes,$is there any other issue we can help you for?
is phone speaker working properly?No,$does the product extend the warranty period?
is the sim slot damaged?Yes,$do you want our technicians to help you fix the issue?
is the sim slot damaged?No,$is there any other issue we can help you for?
is the phone headphone point working?Yes,$is there any other issue we can help you for?
is the phone headphone point working?No,$does the product extend the warranty period?
is the phone camera alright?Yes,$is there any other issue we can help you for?
is the phone camera alright?No,$does the product extend the warranty period?
does the product extend warranty period?Yes,"#sorry we cannot help you with products exceeding its warranty period.  For more help, kindly dial 1800-123-678"
does the product extend warranty period?No,$do you want an annual maintanance?
is the sensor working properly?Yes,$is the phone screen working?
is the sensor working properly?No,$do you want our technicians to help you fix the issue?
do you want our technicians to help you fix the issue?Yes,*our technicians will reach out to you shortly.your customer support request is sucessfully registered under token no.:
do you want our technicians to help you fix the issue?No,"#kindly check if the problem still persists , kindly dial 1800-123-456 for more help."
is there any other issue we can help you for?Yes,#kindly dial 1800-123-456 for more help.
is there any other issue we can help you for?No,#thankyou for contacting us. Hope we could help you. Have a nice day ahead!
do you want an annual maintanance?Yes,$does the product extend the warranty period?
do you want an annual maintanance?No,$is there any other issue we can help you for?
